IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,EUR,Europe,Country,BLR,Belarus,Year,2021,false,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,9.96,,,7.57,,12.79,10.0 [7.6-12.8],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2021,false,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,10.1,,,5.87,,15.42,10.1 [5.9-15.4],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2021,false,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,10.33,,,7.3,,14.02,10.3 [7.3-14.0],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2021,false,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,10.42,,,7.8,,13.48,10.4 [7.8-13.5],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,EUR,Europe,Country,KAZ,Kazakhstan,Year,2021,false,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,10.39,,,8.55,,12.41,10.4 [8.6-12.4],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,SEAR,South-East Asia,Country,MDV,Maldives,Year,2021,false,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,10.55,,,7.97,,13.69,10.6 [8.0-13.7],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AMR,Americas,Country,HND,Honduras,Year,2021,false,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,10.73,,,4.77,,19.3,10.7 [4.8-19.3],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2021,false,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,10.79,,,5.92,,17.15,10.8 [5.9-17.1],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,AFR,Africa,Country,GMB,Gambia,Year,2021,false,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,10.81,,,5.91,,17.82,10.8 [5.9-17.8],,,EN,2024-11-12T23:00:00.000Z
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",numeric,EUR,Europe,Country,DEU,Germany,Year,2021,false,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,10.84,,,7.48,,14.7,10.8 [7.5-14.7],,,EN,2024-11-12T23:00:00.000Z
